name,genres,budget,link
Guardians of the Galaxy,"['Action', 'Adventure', 'Comedy']",170000000,https://imdb-video.media-imdb.com/vi1441049625/1434659607842-pgv4ql-1440784693231.mp4?Expires=1713541286&Signature=aWjeyaHAinaUtwcGFv6zIr4LS7CbCvzOTEmO1ql3-0BXqMYs95EogHrfmLfv3IWMnXl~FmDrDuhA~cGGB6x-1IBbouq6zCD8m-yNWTn~XHWTaKF~jNH9Lr6--~RTDNwmWAoyZICmaZCyO3de75gSVYviHAp8b-ZH3usuGA5IPyTpMiBjTorqy6GW~Z3ooBeyybkLewefT~4DHEG2k6wO8DdeuMVRlTKz~KAB-DgQ0yJQJS3dv8f1TZrdMlBRVwT~G4ESRDrw~2iFxkN-rao~u3gOk5-NF5-BC91W3mLj4GirxUuSQNWLh2BhcodcrxsEaRNdoCjDQXyM-gRttusbEg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Harry Potter and the Order of the Phoenix,"['Action', 'Adventure', 'Family']",150000000,https://imdb-video.media-imdb.com/vi2192310553/1434659607842-pgv4ql-1563453832898.mp4?Expires=1713541613&Signature=VgTqXcUR0rdJ1ZvHZ2GYMkkwm-eMVPoDx0rh1vYOHu03D-I3KCl~Dbs-Ph-C0qJWSkN9dAdMk4lNDLrtGfFe92T5eTZ8TMyu0GNs~2WsJ0Q60HGBxTpbmzD0rFJAYZw4WMrR0QTca8hwhS425hpucgXIGtiin-6hqNvxygQKM5s-utGvFfHVKuD7AW-qns1v9~xn9nTcQAqrDKJGBaJ1wcC2DWpckKEln0Vy08wG6sC3QwVjtH-qiaqSV8-Zbj0IKlJxUl26PWdWxINjwQb7GS1ckau0Fvw9JoFZfzgQBdeA9YpFuFFuiIdmm~EkQ-CZHLVScd4lsXpgqJNl5U4ACA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Princess Bride,"['Adventure', 'Comedy', 'Family']",16000000,https://imdb-video.media-imdb.com/vi1571095833/1434659607842-pgv4ql-1564529419576.mp4?Expires=1713541395&Signature=DZ1vB-xE5z7t8tw0wriIBNSyUhK3i6WdrhSQly1SiNt5IKUkEi~IHkMctcZVedxFV~BxCy~DcX-QxBlnV-t0CizIIgzT5WSQEw92JeHS5mhc2OhELpmT8OGRiKmCdXjNdsAnhZR2H1kK0prn5jg~ArNfCth5FyRNQPlisD8u2rMK5xAG9hmocDqheri3qWaWa4oC~UpOp9OpW5QLgXe0egJvfxYwcn9ot0IU4XZlVz~tKUSnMsEjntIC5uwEsW8w3CQrmcqXWJtlgSc-7Rj1oPiuXr1~y4tnd6w-ZIb3LAYU-KGYewXMYVeEBGwdDcK9TW~DCny4c~V6-gN1~AuLyg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
GoodFellas,"['Biography', 'Crime', 'Drama']",25000000,https://imdb-video.media-imdb.com/vi2673654553/1434659607842-pgv4ql-1536960216608.mp4?Expires=1713542240&Signature=GFvVOaRz1PtaBpt7PfcUOrPIFbSr3kWMyOyjJag1nqk4SOX1ivIFfr70uwBTbK9XG9j7GQN0JJIV8NsLr5wR27AZ7Gq7m6Na9dChWyXK3ss5VdVCkJmk8ePLx21h7I2b9s1U7syz~TqOuZDMLw~Ikf2rgMVmZHMQ3KArV~y0ZFELURuZmYj0JkhCX~8x4TMoRFxIO8ohNa-ifX3Wzj8X4CvdFF6OuMrx~0m6UFvv6OXggv7hF4SHiv0hieFSfHyyivpeA0OlYEUzh65kRSuVPn~ee8mFDKQU634V0YQbRh~MfMVHSMge~Rf6NuzOrIyxDWO2IqdVWyxytvr~dMiqbQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Mary Queen of Scots,"['Biography', 'Drama', 'History']",25000000,https://imdb-video.media-imdb.com/vi2698951193/1434659607842-pgv4ql-1544026366561.mp4?Expires=1713542134&Signature=muXurj-YDZsBzGzQCH8CTOAgcCqE1yiPZvKgDwIgEJBwX-XyhSQIFRsI1EPyb6Oh76v3FQWwYbA23b-X9YOk7H11fBftHuN3C1W5pKccANnBdwfRLVmSxq6VSQKM6phjgHQ9N6NS60dcIumAaGZ4urwaZ7i41OHfC3m2A4k0Zaz2ohm4Wqf2aH4YAdCxGPJ~osne-XN~7BdUqqroEwXfkyc2IHmjbv2FY3Mn4kKRY3b3mTkg5SKYWMyZG2MjZndQzQhvIN3YnYiUUCfy1HrZd~kePRb93HQ9ZhgRw~MWM15t1OrLhLGv-3F9WT9kB6SgTiT5YtafN7b7q~WiR~74iA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Little Things,"['Crime', 'Drama', 'Mystery']",30000000,https://imdb-video.media-imdb.com/vi672579865/1434659529640-260ouz-1608655019804.mp4?Expires=1713541994&Signature=Bg6iAUFzv~qgKM~AAxh4RgnoQReYdt~Tp7qA1JThTI0NU~vi0XzYBLT1d2XpExKHFI4OPNMHhcDfSK770IFVSKKc9oFXCQ4aVru7ROoW-ecSI8jQDnM7xso2DdOSkYa9AZtWA4lmKp60TnzZCh-AVLmjx4h2CM2aYhjjttSrvG7MgrGQyYl3ibbOYHrmrClE9aHhaLCAvfActTy3-rW4oAxJGlCcpKlhuFRCQ-O4lQbdrspQvSqr0oyoWp7u0sxcPdK4uFdkRzhdrWL6dE2~ZSTKTg2XiCpwloOvBCB3X28O2hVYywFFdBu6PYgzC8zigCCTfavMZV5se~wpia0rag__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Encanto,"['Animation', 'Comedy', 'Family']",50000000,https://imdb-video.media-imdb.com/vi3064775449/1434659529640-260ouz-1632921831398.mp4?Expires=1713541922&Signature=bjEIWHb76GDhai7MsoZREAo2BJlOQ7Z0ZOeOPZGaXaRMpxpDRWysATacNf609CN1UCZ1poMjGexp99g-e5Y8bKqQctY0tyItWv9hXwE~INxEF~cr1x70ve2dsZenKtZi9vhyS6UbTqXLxPAsSTMvVQ~CHMj~EbjSIhE3zAA4CpZMpacNgf2aF6mW9GK2YRoxIzX-x3Micuqn9l~diVB9c~I30qv9fxfE7w27fzqFC~Gz8tXTjbVq25c18lWlY4H0PrvnnA8XT-II9onDzVOuY1cWgs6BwJ3K5-hkJi8Ymb0AJSsLgoazWGZUcmwJJgfnaZvuztkmYOH24gUpWPQmuQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Tombstone,"['Biography', 'Drama', 'History']",25000000,https://imdb-video.media-imdb.com/vi822527769/1434659607842-pgv4ql-1702360138231.mp4?Expires=1713542109&Signature=qJV9MEazh5nUOIgnMZWOsZgTEYhkQBbKZoKl3tCEfy6uwT-CvL5rV3DYJgOG8sU0p-B0m2mPq5sFNl3cZYKGI-vTELhfQvk1VHudNqL~UPdlIwCiafzkN3ptNuLeHFsQapUL-KFUOpomh~ibiQFj6W9T0AmPJ7im0Sa8eWCfchQQdmt-qWGetKQtz~dTdsDTu2UpovhlpRMFZIlPORcYwq~76E2s27lpf59V2TwobCCMCwmV7OpsWmAGmxy1g9J1Ng4Hms6Bct5qa0tPfOWuEPX8E6sDFpQfc0EytRRLYZmDokfHF0~XS0a60LMUwe04qn95sxCjB38Dy-LgKbrsLA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Under the Skin,"['Drama', 'Horror', 'Mystery']",13300000,https://imdb-video.media-imdb.com/vi2666834713/1434659607842-pgv4ql-1616202627443.mp4?Expires=1713542081&Signature=AdGVdr3eFjhJsceZlUhquRAG~vSQpncXYPTWzwZdPFdXl65IeNe06XosmEvpsR~tlGFLj3WCT~~Ujmh1OYXJOKsa4RjxTMIyB~QoAlFsGIvmWvGzOcEzdtpYqwl~pMs2vMnDfSGdijLTOzf0saG5wLFX1vaGKxbB-m8Pe~~q4ccH02VW8dtDH825i3WLVUJHtssQBFBdtWqHkymcWLBo~WwSxOiZC4dLy0vG8hIF5N34m7wkmlH-ydJz6oWD2WQ2mtcT3tQLD-0~uM5LjtYAbEtRpDtDkFMYJTwczAMubU8PYUzysRehTtnhKnDcB1-zU-beZZJ3TUS7BzYvUV4P8w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Spider-Man,"['Action', 'Adventure', 'Sci-Fi']",139000000,https://imdb-video.media-imdb.com/vi1376109081/1434659529640-260ouz-1659730035326.mp4?Expires=1713541897&Signature=mweUpjaMIq~vhK1IBAiJ7jYTWFcPfQSB0RaNy3nVwpw0Fsvef8DEq9KElecttnsN-GANEv7mmvx3C3GZCQbONeNBoq7OqBI4fmVqZlbW~cw0drKAXvuP3GEZlUpFPLWlygRzFHAwEA~xoFpLo3-C9ry7uTp7eNYmzRIUXNEGgtT1cOPKpfnXJ980re3PiAS1~6CCqFY244KY5uc9A-kIIWFiPWWelDXUf~aucZLfc~6EcdTbGqQhgzSW2ICZCqWaqIb2OVs4YQQA4oeZum9756J~UXp9ovGv5mejU8r77Maj-n7s20PPYYMg1Lk98bdXlWrjarIsL5zmw5~H9GrUNw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
