name,genres,budget,link
Mission: Impossible - Dead Reckoning Part One,"['Action', 'Adventure', 'Thriller']",291000000,https://imdb-video.media-imdb.com/vi1599390745/1434659529640-260ouz-1684332109001.mp4?Expires=1713477798&Signature=G3ofN9s3LTs3SvaMB85bi6WF-ANfsCnMf3SFbQWixmwiq3rSwkOXITk30EwJm6gQtCflnswFhK-pcS~lI8SK7fYTMEVVvn2QYoIXki~TQ1pI2UDUj6Rwv04-bv48AIn4-Qkr8bjmtQ~HdbvaNEGCsI2UDxjis-6tOC4uKMgPT2qmbac1umyw4UJgoWpS9SM5ZykGpiilAOt--5RZ2KORf-IzfWebm93MGguRxLSZamSNlnE7dQ4mQ2-cI6Dx1My8xS9yHUbRByyhhJtnKpvxV58FvdMHmjRsSoK0vSEn25UAak8Kme5JuOaqeij2QJh0ojb1ao0-5t2GKcoQ-QN9ow__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Ghostbusters: Frozen Empire,"['Adventure', 'Comedy', 'Fantasy']",100000000,https://imdb-video.media-imdb.com/vi2606483225/1434659529640-260ouz-1706537435142.mp4?Expires=1713477801&Signature=nQ7dATS1EwSFBCoRGa7nger9gaY03nLk2fsupCGxpJUSFKXlGh5JxMYQG0iYo8ashn~9jquNvi1D8HOWy2aEpRXiVb~VyBqPexRYd6C7oXES4KSl6veuS24xsKjtzzWOjte9g-zuYrZLT8dr1ppVAaZzZdWofBImc0VCLMBXhX1KY8LsHQDuGglcDN2s~UZUUL2a28BNtyrITBazT00VgtfTQpGHV5u0I6OFo9-~uGMpp0EdzMEjR1L2wPk6qc4~FHfwe9UpkOOPj9awUvdYsrnqb~RSadrBMFAWbXVCKc9kCsjhOIpKI8o2u2B9osFY2uglql90DhJCgvsQBWNvdQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Wyatt Earp,"['Action', 'Adventure', 'Biography']",63000000,https://imdb-video.media-imdb.com/vi1056899353/1434659607842-pgv4ql-1564042608056.mp4?Expires=1713477803&Signature=oyXeVZRRfYdcdG1OxZAdAk8ms32GejyXVPCnWvN3ivTcFMyzaxUtd-USsm9wg39DPXVpjJU5dcvsbHmV92ZI~phMuU~ngqoNKCJueogVcLpuwzAFqyz~SClDkeZh8m2xUw~E0PKAikYPSUSSN0YGaxcMyWN7v-bE5CqW2doYZTPetDNwgpohELxsUBSxd0MgpGSJ8AM6HlNAFBXaEMocQWGDFr2BmhpKx6uG-oZrjBJm03J7cVBTTr52aZmvJo6kdYlqONszlZ4vkbGb1ughN7ejfmofg~iDAAszhG6t0sTe70EN3t8KgxRNKXXZlO9R-iOSw1EbTjf-1dDS5nw8nQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Dr. Seuss' the Lorax,"['Animation', 'Adventure', 'Comedy']",70000000,https://imdb-video.media-imdb.com/vi1238212889/MV5BMTk4MzAzNTk4N15BMTFeQW1wNF5BbWU3MDk1Nzc2Mzc@.mp4?Expires=1713477689&Signature=UO11Ic3JRboBnqsCXAYzGG20QPTS~MveU6BQQgRC657vL-D6nrO1xenG-e4R4jG~RFghAy-s5K4tg0J0VCoPEl41woqL1DUHJ~p5y1T9ppOyfzJAwcGXqRhsk-bmicy8iQBJ07Vqw7ME5zKCzAGSFF~VltSdbwDSCdWYX7xYWh-b38LQkoDym2ss6~6-lDbEXMiwICVvaaKyNlBq695ny5g3SVWOmJ6HGmB7forXj6HrWQlOuH4~4DfMHtx9s2l3asZmfXDL7Hd8owH-bIu5aW9PSIKT9Uip5TeQV3~hq17ozjn67qFONdEUZZW69DgRjxvn9GklVyoAz-f1Cwat7Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Pan's Labyrinth,"['Drama', 'Fantasy', 'War']",19000000,https://imdb-video.media-imdb.com/vi1876343321/1434659607842-pgv4ql-1543572005604.mp4?Expires=1713477576&Signature=u6b-AXBHJ3t6CdQYQKRaxIZ61Ta27kjnAtK35~7CiqOGKwF-SEEEp7YvbxFeUtrPvdZqALPvXIOea7mwktHTLW1nZ~BGq1iiKMLnOw~sH82QSsUwBTjsrKmGuevLlRrCYJOV4z7h-~wIZHdNKAoGLbPHezXm-W6UaTXwvAQlt4U4jarsu50azlJA4MdS5GHTlDXofCIVMNjkOEqgU7M0BfuVrRdlcRFX5-qmps5M89-g79ANB~rhK8okPcygooZDoFwlo0BiiLw0qGNG-AzzdxH~OUczOs7OXGbbBSmUzEMBfc5~rQq1N~rhOehfy7Ao2nIdUk9i2Ny2v9Q~W0xq2Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Mortal Engines,"['Action', 'Adventure', 'Fantasy']",100000000,https://imdb-video.media-imdb.com/vi3886594585/1434659607842-pgv4ql-1538759423661.mp4?Expires=1713477812&Signature=ZVwZN3IqzviiExQuZHd6wgno6cvr1jKDd4Dshjj6~h4ngtQ7v3064ngEdepP7H8l2~WHt61UymRqAlW0i9SD8~d~ToPManELnLECP3uSbMxVb6DRfhInNjQWdyQFQ2d6l4gAXWoredczSLLiuPlvQp4QjJqM51~TtEiCk0ctwMKopYbzZkrYZD32wC2AmGyueH9jGR0gR0zR7P3bxNDFLy9JYz0pCmZc48zCmJpo~F4JNIh-P~-93~WWZybgflKgVZLUOPqW2XU1gYchqy~9NVdTxx3KqVThExy3AX1WFLwiSrvIrUZraw~QlWm8~hlOHhhKsfv8rhwqt4Wdivy26Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Interview with the Vampire: The Vampire Chronicles,"['Drama', 'Fantasy', 'Horror']",60000000,https://imdb-video.media-imdb.com/vi244449561/1434659607842-pgv4ql-1563503648478.mp4?Expires=1713477816&Signature=Z2nwwAZ7Juee5bcGQDXiXOTogFGDrQe9EgmrvDZPWb1lxvdRpxk-~lGocdAhs-2tqJpSVaYoSH6ETWQnhldSW8GlJA~OYJ8Lv~p8~73nnjto5q9DBVwwq8By14FfblGSDPUtbdmWDIGwoG7oCCvIfDpJnhDjspeNFyRdHwf2lr5pqb2WonKGMFyrRbUQc0k7BgfYZdvCWPNjVo3AmcPTHg2fMqvoDSc360YOy9~n57Sl~8wtZAaIvq8mSMWYm1nF~Oo9RVpjZ0gIYSfaJUNgmly5cxKDWCmeWVkik2S6OB5vK-tZfYkUo8L86hepVs2LwovYhvne~Xj21AIDrwGWzA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Shutter Island,"['Drama', 'Mystery', 'Thriller']",80000000,https://imdb-video.media-imdb.com/vi4064281/1434659607842-pgv4ql-1616202579819.mp4?Expires=1713477026&Signature=jTDUYFf0bCMXDvmEwWp9ukc0-ztsq5Rb3z2kLmTixA5yV79KqzSxfN3439Gq2UmvQ-X5ghkHaVTE-Ps~wmNBQStLpRXjgkG3A466kLKdIoHJSpkJOD2RJv2gg3FapoYg9hqdlqtRyPl~iggI3B5cWtxnYB5mzNhMfq0vblz0DaeucWt4yxRsjsP1zBhabNXg4oS5QxWnhCrPfesdCGh87MYO0X4mN01ZfFF~rXefJQ7ykBF78GY9vcljCh8eB2TdtMygJzS8LpG4GYN3lzQMptyHPN1WjoOUiUtXJcxNfufAmIj6TOKsrUbyCEkubZkpomrsT5~bPSQjzVTHT2nVbQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Elvis,"['Biography', 'Drama', 'Music']",85000000,https://imdb-video.media-imdb.com/vi4000891673/1434659529640-260ouz-1645117658785.mp4?Expires=1713477824&Signature=sMRMAiyjvILlQTp0s4~mhQgYHpzNHI-NkLNNktUbIlvhhDDebTDuYFVcRSxpdiqvgexOmXl-vruJhLV4DMVJjLWafloSppyrUdQlDHGAKALJBj1yEZWPLTLavdUU8s3~KUHYzT9vH8dxvfFv3FOmC8SZGRKvN4ji5SG3rboOwGF6pffYMjvsD2vHk72pvTG~hfeJhHHPihzx4t2PgjYyIF~0c7tfAo7TwcK0IXRZ4ClAYtS-clHpYA0nqXiWQY2F2LkMy5E7sEBj7HcNrP4H33YWusmeOMJjksmstaym0BUINZ0ZSdkSHH9umhE4cMUSc4eU59ePQ1HjQorD2E440A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Hombre,"['Drama', 'Western']",5860000,https://imdb-video.media-imdb.com/vi2746024217/1434659607842-pgv4ql-1563880808125.mp4?Expires=1713477826&Signature=D-u4fwOeV6i0rVa0vbmRUc~gV1i2vZfvwarl-8SFucTBTv3swJkMdAZgipGJ1Ss73RB-496Kp95hqqGXw-1lxxqGB6L2FhSef3WnNBwYWGxAtBr2QRjC3-kG1cU62Q8RBFDm3WEZQSQrRmj5I0574XVS8hI225guT22a3bVIWBx4BZROjFKFdHgHeUSYt3tLXdUsUpXvTVoodPVybVP39X5rmOA~zZKQoj8pxVC8vZw-VIi-VhtqID6G1KvTcVE90pY~TMKZPD0uunUNpkhrTXowT50tN2E0V-SV4wUbtmQhgauJGBBEc6ibBB3IPiO-sBGLL~RbMBW8QLsAjGsGAg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
